code,title,credit,description
PHYS 57100,Selected Topics In Physics,3.00,.  Specialized topics in physics selected from time to time. Typically offered Fall Spring Summer.
PHYS 55000,Introduction To Quantum Mechanics,3.00,".  Brief historical survey of the development of quantum mechanics; wave-packets, uncertainty principle, wave functions, operators, Schrodinger equation with application to one-dimensional problems, the hydrogen atom, electron spin, selected topics in perturbation theory, scattering theory, and compounding of angular momenta.  Not available for students with credit in PHYS 36000 or 46000. Typically offered Fall."
PHYS 55600,Introductory Nuclear Physics,3.00,".  Theory of relativity, brief survey of systematics of nuclei and elementary particles, structure of stable nuclei, radioactivity, interaction of nuclear radiation with matter, nuclear reactions, particle accelerators, nuclear instruments, fission, nuclear reactors. Typically offered Spring."
PHYS 54500,Solid-State Physics,3.00,".  Crystal structure; lattice vibrations and electronic band structure of crystals; electrical, optical, and thermal properties of solids; transport and other nonequilibrium phenomena in uniform and nonuniform materials. Typically offered Fall Spring."
PHYS 53000,Electricity And Magnetism,3.00,.  Electrostatic problems; theory of dielectrics; theory of electric conduction; electromagnetic effects due to steady and changing currents; magnetic properties of matter; Maxwell’s equations; electromagnetic radiation. Typically offered Fall.
PHYS 51700,Statistical Physics,3.00,".  Laws of thermodynamics; Boltzmann and quantum statistical distributions, with applications to properties of gases, specific heats of solids, paramagnetism, black-body radiation, and Bose-Einstein condensation; Boltzmann transport equation and transport properties of gases; Brownian motion and fluctuation phenomena. Typically offered Fall Spring Summer."
PHYS 51000,Physical Mechanics,3.00,".  Mechanics of particles, rigid bodies, and vibrating systems. Typically offered Fall."
PHYS 51500,Thermal And Statistical Physics,3.00,".  Equilibrium states, the concept of heat, and the laws of thermodynamics; the existence and properties of the entropy; different thermodynamic potentials and their uses; phase diagrams; introduction to statistical mechanics and its relation to thermodynamics; treatment of ideal gases. Typically offered Fall Spring."
PHYS 29400,Sophomore Physics Seminar,1.00,".  Required of sophomores majoring in any physics curriculum.  Discussion of undergraduate research opportunities, upper-division courses, career opportunities, laboratory safety, use of the library including physics journals, and topics of current interest in physics. Typically offered Spring."
PHYS 30400,Relativity I,3.00,".  An introduction to the theory of Special Relativity. Topics include historical justification; axioms of relativity; Lorentz transformations as applied to position, velocity, and acceleration; time dilation, length contraction, and associated paradoxes; relativistic optics, relativistic particle and electro-dynamics."
PHYS 29000,Special Assignments,0.00 to 3,".00.  Readings, discussions, written reports, or laboratory work selected for enrichment in special areas of physics. Permission of instructor required. Typically offered Fall Spring Summer."
PHYS 26100,Electricity And Optics,4.00,".  Calculus-based. Continuation of PHYS 15200.  Heat, kinetic theory, elementary thermodynamics, heat transfer. Electrostatics, AC/DC circuits, electromagnetism, magnetic properties of matter; geometrical and physical optics. Typically offered Fall Spring Summer."
PHYS 27000,Special Topics In Physics,1.00 to 5,.00.  Specialized topics in physics. Permission of instructor required. Typically offered Fall Spring Summer.
PHYS 25100,"Heat, Electricity And Optics",5.00,".  Calculus-based. Continuation of PHYS 15200.  Heat, kinetic theory, elementary thermodynamics, heat transfer. Electrostatics, AC/DC circuits, electromagnetism, magnetic properties of matter; geometrical and physical optics.Typically offered Fall Spring Summer."
PHYS 22100,General Physics,4.00,".  Algebra-based. Electricity & magnetism, light, and modern physics, for students not specializing in physics. Typically offered Fall Spring Summer.
CTL:IPS 1752 Algebra-based Physics II"
PHYS 19400,Freshman Physics Orientation,1.00,".  Designed to provide incoming physics majors with the academic, survival, and computational skills to make a successful transition from high school to college.  Discussion of opportunities within the Department including degree options, co-op program, undergraduate research, careers in physics, use of spreadsheet software, graphing packages, and drawing programs.  Attendance and performance on assigned projects are the basis of the Pass/Not Pass requirement. Typically offered Fall."
PHYS 22000,General Physics,4.00,".  Algebra-based. Mechanics, heat, and sound, for science students not specializing in physics, chemistry, or engineering. Typically offered Fall Spring Summer.
CTL:IPS 1751 Algebra-based Physics I"
PHYS 15200,Mechanics,4.00,".  (West Lafayette, Calumet, North Central, IUPUI) 5.00 (Fort Wayne)  Calculus-based. Statics; uniform and accelerated motion; Newton’s laws; circular motion; energy, momentum, and conservation principles; dynamics of rotation; gravitation and planetary motion; hydrostatics and hydrodynamics; simple harmonic motion; wave motion and sound.  Typically offered Fall Spring Summer."
PHIL 59000,Directed Reading In Philosophy,1.00 to 3,.00.  A reading course directed by the instructor in whose particular field of specialization the content of the reading falls. Approval of each reading project must be secured from the department. Permission of instructor required. Typically offered Fall Spring.
PES 11200,Aquatic Movement Forms,1.00,.  Instruction and practice in aquatic movement forms. Students select from the activities listed in the current schedule of classes. Following is a partial list of activities: beginning swimming; intermediate swimming; advanced swimming; synchronized swimming. Typically offered Fall Spring Summer.
PHIL 49000,Advanced Topics In Philosophy,1.00 to 3,.00.  An advanced study of a significant topic in philosophy. Typically offered Fall Spring.
PHIL 40100,"Eastern Religions: Hinduism, Buddhism",3.00,".  In this course students will study eastern religions with a special focus on two - Hinduism and Buddhism. They will examine these faiths from a philosophical-theological perspective, focusing on topics such as the conceptions of the divine, human nature or the self, salvation, ethics, and the afterlife. Typicall offered Fall Spring."
PHIL 40800,Philosophy Of Love And Friendship,3.00,". This course is a survey of the main trends and major figures in the philosophy of love and frienship in the western trasition from antiquity to the contemporary period. Using the method of history of philosophy, this course will explore special topics (the ethical basis of love and friendship, the transition from eros to agape, the body-soul dichotomy, philosophy of sexuality and embodiment,etc.), using original writings (in transition) of authors ranging from Sappho, Plato and Aristotle to Foucault. Typically offered Fall Spring Summer. "
PHIL 33800,Philosophy In Literature,3.00,".  This course is devoted to philosophical themes as they are presented in works of literature (novels, short stories, plays, poems, etc.). The topics that may be explored include suicide, the meaning of life, death, conflicts, existence, hate, and love."
PHIL 33600,"Race, Gender, Class, And Identity",3.00,".  The course is organized around such topics as Identity, Power, Privilege, and Social Institutions. Students will learn about race, gender, and class, including the ways on which they often intersect with one another to produce social inequalities and form the bases of our identities in society."
PHIL 33200,Truth,3.00,".  This course takes up the study of competing theories of truth, including the correspondence theory, the coherence theory, and pragmatic theories. The course also surveys post-modern concepts of truth and considers the moral and political implications of the “post-truth” phenomenon."
PHIL 33400,Freedom,3.00,.  This course examines various notions of freedom from historical and contemporary perspectives. Specific topics include: free will vs. determinism; hard vs. soft determinism; the role of science in our conception of freedom; political notions of freedom; existential conceptualizations of freedom; and legal notions of freedom.
PHIL 32500,Ethics And Public Health,3.00,".  A study of the ethical issues and problems of public health and health care. Within public health, such topics will be considered as; ethical theories; laws, codes, values, and moral decision making; the health care system; issues of the health care professional; health care professionals and patients; the sanctity of life; biomedical research and human experimentation; health policy; and allocation of resources. Typically offered Fall Spring Summer."
PHIL 32400,Ethics For The Professions,3.00,".  A study of the ethical problems faced by professionals in engineering, management, and other professional fields. Topics include: ethical theories, moral decision-making, social responsibility, employee rights and responsibilities, the environment, truth telling, affirmative action, privacy and confidentiality, whistle-blowing, and deception. Typically offered Fall Spring Summer."
PHIL 32700,Environmental Ethics,3.00,".  A study of traditional ethical theory applied to environmental issues such as population control, conservation, human rights and pollution, nuclear energy, extinction and animal rights, our obligations to future generations, toxic waste, and issues in agriculture. Typically offered Fall Spring Summer."
PHIL 30200,History Of Medieval Philosophy,3.00,".  A survey of the main trends and figures of medieval philosophy, with an emphasis on metaphysics, epistemology, and ethics.  Readings (in English translation) may include Augustine, Boethius, Avicenna, Anselm, Abelard, Maimonides, Aquinas, Scotus, Ockham and Suarez. Typically offered Fall Spring."
PHIL 32100,Engineering Ethics,3.00,".  Students will gain familiarity with ethical issues that arise in the practice of engineering and learn to use critical thinking skills in making and communicating ethically defensible professional decisions. In particular, students will learn about ethical theory, underlying concepts such as the idea of a profession, models of engineering, codes of ethics, views of the environment, values, principles, and other relevant considerations, as well as how to draw upon these factors when making rational workplace decisions about whistleblowing, product safety, environmental responsibility, appropriate technology, supervising other engineers, respecting trade secrets, reviewing the work of other engineers, and other ethically sensitive aspects of engineering practice. Permission of department required. Permission of instructor required. Typically offered Fall Spring."
PHIL 31300,Existentialism,3.00,".  A survey of both the philosophical and more literary writings of the existentialist movement. Readings will be chosen from among the following writers: Kierkegaard, Nietzsche, Dostoevsky, Kafka, Marcel, Heidegger, Camus, Sartre, Jaspers, Beauvoir, Ortega, and Merleau-Ponty. Typically offered Fall Spring Summer."
PHIL 30300,History Of Modern Philosophy,3.00,".  Concentrates on the major philosophical writers from the Renaissance to the beginning of the nineteenth century: Descartes, Hobbes, Spinoza, Locke, Leibniz, Berkeley, Hume, Kant. Some in other areas, e.g., Galileo, Newton, Calvin, are also considered. Typically offered Fall Spring."
PHIL 30600,Twentieth-Century Philosophy,3.00,".  A critical examination of the main currents of contemporary philosophical thought, such as pragmatism, analytic philosophy, phenomenology, and existentialism, and other recent developments. The course will cover selected works of such philosophers as Russell, Wittgenstein, Peirce, Whitehead, Heidegger, and Sartre. Typically offered Fall Spring."
PHIL 29300,Selected Topics In Philosophy,1.00 to 3,.00.  A critical examination of some special topic or topics in philosophy. Details concerning topics selected for treatment in a given semester may be obtained in advance from the Department of Philosophy. Sections of this course may sometimes be initiated by students upon petition to the department. Typically offered Fall Spring.
PHIL 27500,The Philosophy Of Art,3.00,".  A survey of the principal theories concerning the nature, function, and value of the arts from classical times to the present. Typically offered Fall Spring."
PHIL 22100,Introduction To Philosophy Of Science,3.00,".  An introduction to the scope and methods of science and to theories of its historical development. Topics include scientific revolutions, theories of scientific method, the nature of scientific discovery, explanation, and the role of values in scientific change. Typically offered Fall Spring."
PHIL 30100,History Of Ancient Philosophy,3.00,.  A survey of Greek philosophy from its beginning in the Milesian school through the Presocratics to Plato and Aristotle. Typically offered Fall Spring.
PHIL 23100,Religions Of The West,3.00,".  (REL 23100) A comparative study of the origins, institutions, and theologies of the three major Western religions, Judaism, Christianity, and Islam. Typically offered Fall Spring Summer."
PHIL 23000,Religions Of The East,3.00,".  (REL 23000) A study of the history, teachings, and present institutions of the religions of India, Southeast Asia, China, and Japan. This will include Hinduism, Jainism, Sikhism, Buddhism, Confucianism, Taoism, Shintoism, and Zoroastrianism. Typically offered Fall Spring Summer."
PHIL 21900,Philosophy And The Meaning Of Life,3.00,".  Does life have meaning? If so, in what sense? If not, does this matter? Does the answer depend on the existence of God and an afterlife? What, if anything, makes existence worthwhile? Might the question – ‘does life have meaning?’ – be malformed? This course explores these and related questions, as well as answers to them, with the aim of teaching students to think critically and rigorously about matters of perennial existential importance. In previous iterations of this course, readings have been chosen from the following writers: Kierkegaard, Nietzsche, Dostoevsky, Kafka, Marcel, Heidegger, Camus, Sartre, Jaspers, de Beauvoir, Ortega, and Merleau-Ponty.  Typically offered Summer Fall Spring."
PHIL 20600,Introduction To Philosophy Of Religion,3.00,".  The course encourages critical reflection on traditional and contemporary views about God and other religious ideas.  Topics include arguments for God’s existence, the problem of evil, understanding the divine attributes, miracles, religious pluralism, and life after death. Typically offered Summer Fall Spring.CTL:ISH 1052 Philosophy Of Religion"
PHIL 15000,Principles Of Logic,3.00,".  A first course in formal deductive logic; mechanical and other procedures for distinguishing good arguments from bad. Truth-tables and proofs for sentential (Boolean) connectives, followed by quantificational logic with relations. Although metatheoretic topics are treated, the emphasis is on methods. Typically offered Summer Fall Spring."
PHIL 10600,"Human Experience In Art Literature, Music, And Philosophy",3.00,".  An introduction to the problems, methods, and main traditions experiences and ideas which lie at the heart of all humanities (e.g.love, death, justice, duty, nature, beauty, and deity) using as material specimens of the visual arts, music, literature, and philosophy. Typically offered Fall Spring Summer."
PHIL 11000,The Big Questions: Introduction to Philosophy,3.00,".  The basic problems and types of philosophy, with special emphasis on the problems of knowledge and the nature of reality. Typically offered Summer Fall Spring.CTL:ISH 1050 Introduction To Philosophy"
PHIL 12000,Critical Thinking,3.00,".  This course is designed to develop reasoning skills and analytic abilities, based on an understanding of the rules or forms as well as the content of good reasoning. This course will cover moral and scientific reasoning, in addition to ordinary problem solving. This course is intended primarily for students with nontechnical backgrounds. Typically offered Summer Fall Spring."
PHIL 11100,Introduction To Ethics,3.00,".  A study of the nature of moral value and obligation. Topics such as the following will be considered: different conceptions of the good life and standards of right conduct; the relation of nonmoral and moral goodness; determinism, free will, and the problem of moral responsibility; the political and social dimensions of ethics; the principles and methods of moral judgment. Readings will be drawn both from contemporary sources and from the works of such philosophers as Plato, Aristotle, Aquinas, Butler, Hume, Kant, and J. S. Mill. Typically offered Summer Fall Spring.CTL:ISH 1051 Ethics"
PHIL 10700,Freshman Experience -English & Philosophy,3.00,".  The course is required of all entering freshmen and transfer students with less than 60 credits. This course will include utilization of campus resources, goal setting, values exploration, relationship of academic planning and life goals, discipline specific career exploration and critical thinking. The course also serves well as the departmental Freshman Experience, since it introduces majors to the disciplines of art, literature, music, and philosophy. Typically offered Fall."
PHIL 10100,The History Of Philosophy,3.00,".  An introduction to the problems, methods, and main traditions of philosophy through readings in Greek, medieval, modern, and contemporary philosophy. Typically offered Fall Spring Summer."
PCTX 20100,Introductory Pharmacology,3.00 or 4,".00.  An introduction to the pharmacological basis of therapeutics.  This course involves an integration of knowledge of anatomy, physiology, microbiology, and chemistry with the biological and selected chemical and physical actions and reactions of drugs.  Primairly for students in nursing and other paramedical programs. Typically offered Summer Fall Spring."
OLS 59000,Individual Research Problems In Supervision And Personnel,1.00 to 6,.00.  Opportunity to study specific problems in the field of supervision and personnel under the guidance of a qualified faculty member within the department. Does not include thesis work. Permission of instructor required. Typically offered Fall Spring Summer.
OLS 58800,Strategic Planning And Marketing For Technology,3.00,". This course examines concepts, models, and methods useful for developing strategic initiatives in industrial/technical business environments. Focuses on planning concepts, including industry structure, strategic mission, organizational structures, competitor analysis, and related areas. Graduate status or senior standing with consent of instructor. Graduate students without an OLS background may be required to take leveling courses. Typically offered Fall Spring Summer."
OLS 58900,Leadership And Ethics,3.00,". An examination of ethical, legal and policy issues facing business and technology leaders. Topics include ethical decision making, corporate social responsibility, codes of ethics, public policies and government regulations, international business practices, technology innovation, risk management in a global environment, and specific areas of law- employment, health and safety, environment, contract, warranties and liabilities, intellectual property, technology law, and international laws and regulations. Graduate student standing or senior status with consent of instructor. Graduate students without an OLS background may be required to take some leveling course. Typically offered Fall Spring Summer."
OLS 58700,Developing A Leadership Philosophy,3.00,".  Focuses on affect, motives, attitudes, beliefs, values, ethics, morals, will, commitment, preferences, norms, expectations, responsibilities, and other key concepts as they relate to leadership. Students will develop a deeper understanding of the kind of ethical dilemmas they may face in the workplace. A variety of methods, such as invited speakers, case studies, or readings are used to deepen the understanding of these issues and provide practical examples. Students will develop their personal philosophy, as well as the skills and confidence needed for ethical leadership in their professional careers. Typically offered Summer Fall Spring."
OLS 58100,Workshop In Organizational Leadership And Supervision,0.00 to 8,".00.  Advanced study of technical and professional topics. Emphasis is on new developments relating to technical, operational, and training aspects of industry and technology education.  Course may be offered in traditional, distance, or blended format.  Course format may vary, depending upon topic of course.  Typically offered Summer Fall Spring."
OLS 58300,Coaching And Mentoring In Organizations,3.00,".  This course explores issues and practices in technologically-driven organizations pertaining to the roles and functions that coaching and mentoring play in employee development. A “best practices” approach, utilizing the case method, is emphasized. Presented from the point of view of a human resource manager/leader, the focus of the course is on identifying coaching opportunities, enhancing communication skills, developing and implementing coaching and mentoring strategies, and evaluating the outcomes of these strategies. Attention is directed to facilitating personal coaching mentoring skills.  Course may be offered in traditional, distance, or blended format. Permission of department required. Typically offered Spring."
OLS 58200,Leadership And Organizational Change,3.00,".  Explores issues in leadership and organizational change. Included are change theories, utilizing resistance to change, contemporary approaches to change, the future workplace, and researching best practices in organizational change. Typically offered Fall Spring."
OLS 57600,Advanced Topics In Human Resource Management,3.00,".  Current topics and issues in the legal, behavioral, and technical environment of human-resources management.  Topics may include employment  practices, labor-management relations, wage and salary administration, treatment of employees on the job, or productivity-improvement programs.  Employs seminar format with emphasis on applications research.  Course may be offered in traditional, distance, or blended format.  Typically offered Fall Spring."
OLS 58000,Interpersonal Skills For Leaders,3.00,".  Development and improvement of interpersonal and group dynamic skills for effective leadership in organizations.  Emphasis on action learning and real-world application of skills. Course may be offered in traditional, distance, or blended format.  Open to all graduate students with special consideration given to senior OLS students with 3.0 GPA and School of Technology graduate students. Typically offered Summer Fall Spring."
OLS 57400,Managerial Training And Development,3.00,".  Review of current managerial education and development theories and practices; discussion of fundamental social, economic, and political changes affecting business and the work of managing; implications of these changes for individual manager development and continued growth. Typically offered Fall Spring Summer."
OLS 55000,Managing Diversity,3.00,.  This course is a senior undergraduate and graduate course designed to provide students with the comprehensive study of contemporary diversity issues facing supervisors and human resource professionals. Issues relevant to supervisors and human resource professionals are discussed at a level where students will be able to manage a diverse workforce and develop policies and practices to assist organizations to avoid problems and litigation.  Typically offered Fall Spring Summer.
OLS 49700,Senior Project,2.00,".  This course focuses on the implementation and completion of the Senior Project in an organization of the student’s choice.  Students will finalize their proposal and methodology, by using the process learned in Senior Projects- Phase I and from previous course material, as well as completing the project.  Typically offered Fall Spring."
OLS 54000,Leading Collaborative Projects And Work Teams,3.00,".  Focuses on methods of understanding and improving the performance of collaborations and work teams. A holistic view of teams is obtained by combining psychological theories and current practices in contemporary organizations. Topics include task design, team composition, member role structures, member socialization, influence and power, leadership, decision making, and training. Students are asked to watch and reflect on collaborative work relationships. A heavy emphasis is placed on experiential learning, including case studies and a variety of team-learning exercises. Typically offered Summer Fall Spring."
OLS 49900,Special Topics In Organizational Leadership And Supervision,1.00 to 3,.00.  Hours and subject matter to be arranged by staff. Permission of instructor required. Typically offered Fall Spring Summer.
OLS 49100,Internship Program,3.00  (west lafayette and tech statewide locations)  1,.00 to 3.00 (Calumet and North Central campuses).   A practicum designed to combine University study with work experience directly related to the student’s plan of study. Permission of department required. Typically offered Summer Fall Spring.
OLS 49300,Senior Project - Phase I,1.00,".  This course focuses on the methodology required to complete a senior project in an organization of the student’s choice.  Students will finalize their senior project topic, understand the senior project process, and begin their senior project proposal.  Typically offered Fall Spring."
OLS 48700,Leadership Philosophy,3.00,".  A review of current managerial, education, and development theories and practices; discussions of fundamental social, economic, and political changes affecting business and the art of managing; implications of these changes for individual development and continued growth. Typically offered Fall Spring Summer."
OLS 48400,Leadership Strategies For Quality And Productivity,3.00,".  A study of how organizational leaders create an environment conducive to high levels of employee self-motivation, quality, and productivity (TQM). Actual case situations are used to illustrate the application of course content. Typically offered Fall Spring Summer."
OLS 48500,Leadership For Team Development,3.00,".  An in-depth study of self-directed work teams and team processes in the work setting, with a view to understanding team functions under varying task conditions. Especially emphasized will be the leadership of teams for effective performance and maximum member satisfaction. This course deals extensively with maintenance and task behaviors of team members. Typically offered Summer Fall Spring."
OLS 48600,Management Of Change,3.00,".  A survey of the concepts that provide a foundation for the understanding of leadership and its relationship to the management of organizational change, with special emphasis on managing the human side of quality improvement. Typically offered Summer Fall Spring."
OLS 48300,The Common Law Of The Workplace,3.00,".  Statutory and individual rights are expanding significantly, and supervisors must have the expertise to deal with these new workplace issues.  The intent of this course will be to present cases reflecting how supervisors deal with current workplace issues. Typically offered Summer Fall Spring."
OLS 48200,Labor Arbitration,3.00,".  Student will learn how to analyze discipline and discharge cases in light of the just cause requirements. They will also be able to evaluate contract language against basic standards and legal principles. In addition, they will be able to write an arbitrator’s opinion and award. Typically offered Fall Spring."
OLS 47900,Staffing Organizations,3.00,".  An applications-oriented study of key concepts in staffing organizations, including principles and issues in conducting job analysis; preparing job descriptions/specifications; and screening/selecting employees. Special emphasis on the design, validation, and operation of high-volume staffing systems. Typically offered Summer Fall Spring."
OLS 47700,Conflict Management,3.00,".  A study of the methods for dealing with innerpersonal, interpersonal, and political disputes by means generally outside the traditional court system. Students will investigate the theoretical and practical aspects of conflict assessment, negotiation, problem solving, mediation, and arbitration. Typically offered Spring."
OLS 47400,Conference Leadership,3.00,.  Understanding the role of facilitating group discussion in business and industry conferences. Special emphasis on developing group facilitation skills. Typically offered Summer Fall Spring.
OLS 47300,Global Human Resource Issues,3.00,".  The traditional Human Resource Management System has five components.  These function within the internal and external environments of the organization.  With the rapid adaptation of technology, the world has become smaller.  A study of global human resource issues provides students with the unique opportunity to employ theory learned in fundamental courses and develop in-depth analytical abilities presented when a business opportunity, such as globalization, changes the culture and scope of the firm. Typically offered Summer Fall Spring."
OLS 46800,Personnel Law,3.00,".  A study of employment laws specially affecting employer-employee relationships. The purpose of the course is to provide the supervisor with a summary of current employee relations laws and a practical approach to dealing with daily employer-employee legal concerns. Topics include laws related to discrimination based on sex, race, age, handicap, hiring and discharge of workers, drug and alcohol testing, privacy in the workplace, wages, ERISA, and other issues on employee rights and employer responsibilities. Typically offered Fall."
OLS 45400,Gender And Diversity In Management,3.00,".  The work force of the future will represent multiple differences including gender, race, culture, ethnicity, physical abilities, and age. Following this broad-based perspective of diversity, this course will focus on using knowledge of diversity to develop the leadership potential of individuals in organizations. Typically offered Summer Fall Spring."
OLS 46700,Service Learning,3.00,.  Service learning is a reflective experience in which students are actively engaged in the community and integrate that experience into the classroom. Permission of instructor required. Typically offered Summer Fall Spring.
OLS 44100,Leading Ethically,3.00,".  An investigation of ethical problems in group and organizational settings.  Topics include personal morality, character building, strategies for decision making, organizational values and codes of ethics, and cultural differences in ethical values.  Emphasis on personal development, values clarification and ethical decision making.. Typically offered Summer Fall Spring."
OLS 43300,Analysis And Design Of Safety Systems,3.00,".  A comprehensive survey of the analysis and design of safety system techniques for processes, equipment and machinery through the use of such control measures as hazard identification, risk assessment, and job safety analysis. Typically offered Fall Spring."
OLS 44000,Leading With Integrity,3.00,".  An investigation of ethical problems in business practice.  Topics include personal morality in profit-oriented enterprise; codes of ethics; obligations to employees and other stakeholders; truth in advertising; whistle-blowing and company loyalty; regulation, self and government; the logic and future of capitalism.  Emphasis on business law and legal impacts on ethical decision making. Typically offered Summer Fall Spring."
OLS 33200,Fundamentals Of Industrial Hygiene,3.00,".  An examination of the industrial hygiene factors instrumental in maintaining a safe and healthful workplace. Special emphasis is given to the recognition, evaluation, and control of occupational health hazards. Typically offered Fall."
OLS 33100,Occupational Safety And Health,3.00,".  A presentation of the aspects of occupational safety and health that are essential to the organizational leaders. Special emphasis is placed on developing an understanding of the economic, legal, and social factors related to providing a safe and healthy work environment. Typically offered Spring Fall Summer."
OLS 43000,Environmental Health And Safety Management,3.00,". Designing and developing a management system to ensure safety and health for employees and environment where they work. Survey of designing a management system to ensure safety and health for employees operating processes and equipment, through the use of control measures that include hazard identification, risk assessment, and job safety analysis. The students will design a safety, health and environmental system that include the techniques for management of the designed system. Typically offered Fall."
OLS 27400,Applied Leadership,3.00,".  Introduction to applied leadership in the context of organizational functions, structures, and operation. Typically offered Fall Spring Summer."
OLS 30300,Substance Abuse In The Workplace,3.00,".  Overviews alcohol and drug problems affecting job performance in the workplace. Topics covered include current concepts of alcoholism and addictions, supervisor’s role and responsibilities, work behavior of alcohol and drug abusers. Constructive confrontation and intervention, employee assistance programming, and referral. Typically offered Fall Spring."
OLS 27200,Job Evaluation,2.00 or 3,".00.  (IET 27200) A survey of the basic principles and significance of job evaluation. An analysis of current practices and techniques used in job analysis, job descriptions, and job evaluation. Typically offered Spring."
OLS 30000,Safety And Health For Engineering Technologies,3.00,".  This course explores a wide range of environmental health and safety topics relevant to technologists, engineers, and managers in both public and private sectors.  Emphasis is placed on an understanding of identification, evaluation, and control of various hazards which could harm people, property, and the environment by using risk assessment.  Instructor permission required.  Typically offered Fall Spring."
OLS 24200,Fundamentals Of Ergonomics,3.00,".  This course is designed for students interested in the areas of occupational health and safety, production engineering, facilities management, and supervision and management. An understanding of how to prevent musculoskeletal disorders and improve manual working conditions will be gained through the use of applicable real life exercises and exploration of research in various industries. This course will cover a general study of the musculoskeletal system as well as guidelines for lifting, reaching, seated work, machine work, hand tools and vibration. Typically offered Spring."
OLS 10200,Freshman Experience,1.00,".  This course provides entering first-year transfer students with less than 60 credits an opportunity to become familiar with available departmental and university resources, such as the advising process, the course management system, engage in goal setting, align academic and life goals, explore available career options, and develop a plan for success. Typically offered Fall Spring."
OLS 13100,Introduction To Safety And Health Management,3.00,". Course emphasizes developing an  understanding of various topics related to environmental health and safety which owners, managers, supervisors, and employees need to be aware of in the working environment. Typically offered Fall Spring Summer."
OLS 25200,Human Relations In Organizations,3.00,.  A survey of the concepts that provide a foundation for the understanding of individual and group behavior in organizations.  Special emphasis on typical interpersonal and leadership relationships. Typically offered Fall Spring Summer.
OLS 16300,Fundamentals Of Self-Leadership,3.00,".  This course provides students with an introduction to the Organizational Leadership and Supervision program, and prepares them for the program curriculum. It serves both as the Freshman Experience course, and the fundamental introduction to leadership. It includes the utilization of campus resources, goal setting, value and role exploration, relationship of academic planning and life goals, disciplines specific career exploration, and critical thinking. Typically offered Fall Spring Summer."
OBHR 69000,Advanced Problems In Organizational Behavior And Human Resource Management,2.00 to 4,.00.  Advanced investigation in a specific organizational behavior or human resource field at the graduate level. Typically offered Fall Spring Summer.
OLS 10000,Introduction To Organizational Leadership,1.00,.  Transitional course to orient the Organizational Leadership and Supervision freshman to the department and Purdue. Typically offered Fall Spring Summer.
OBHR 68100,Managing Behavior In Organizations,2.00 to 4,".00.  Individual and group behavior are the central components of the study of behavior in organizations. Focus is on the managerial application of knowledge to issues such as motivation, group processes, leadership, organizational design structure, and others. The course employs cases, exercises, discussions, and lectures.  Prerequisite: Master’s student standing and Management majors only.  Typically offered Fall Spring."
OBHR 66900,Negotiations In Organizations,1.00 to 3,".00.  Decision making examines organizational context, stages, creativity, biases, and group processes. Negotiations examine strategies for preparing and conducting negotiations. The principal focus is on individual and interpersonal aspects of each. Permission of department required. Typically offered Fall Spring."
OBHR 66201,Leadership,1.00 to 4,".00.  Examines organizational leadership responsibilities, forms of leadership, the acquisition, use, and consequences of power, critical leader skills, and how corporate environments shape leadership. Emphasis on self-discovery and development of managerial leadership knowledge and skills."
OBHR 63300,Human Resource Management,2.00 (west lafayette) 3,".00 (Calumet, North Central)  Introduction to human resource management for general managers. Emphasis is on the impact of human resource components (e.g., staffing, rewards, labor relations) on the performance of the firm. Case analyses and computerized databases are used to illustrate major components of human resource decision making. Not open to students with credit in MGMT/OBHR 63100.  Prerequisite: Master’s student standing and Management majors only. Typically offered Fall Spring."
OBHR 59000,Problems In Organizational Behavior And Human Resource Management,1.00 to 4,.00.  Advanced study and investigation in a field of organizational behavior and human resource management under the guidance of staff. Permission of instructor required. Typically offered Fall Spring Summer.
OBHR 66200,Leadership,1.00 to 3,".00.  Examines organizational leadership responsibilities, forms of leadership, the acquisition, use, and consequences of power, critical leader skills, and how corporate environments shape leadership. Emphasis on self-discovery and development of managerial leadership knowledge and skills.  Typically offered Fall Spring."
OBHR 63100,Human Resource Systems,3.00,".  An overview of selected human resource activities/systems for the future human resource professional. Emphasis will be placed on building skills in areas that will provide a foundation for future coursework in human resources management. Topics covered include planning and forecasting human resource needs, job analysis, design and evaluation of training systems, design of performance appraisal systems, and safety and health in the workplace.  Typically offered Spring Fall."
OBHR 58110,Foundations Of Organizational Behavior,1.00 to 2,".00. A review of the key elements of human relations in organizations necessary for managerial effectiveness (productivity, satisfaction, turnover, engagement). Focus is on the application of theory to issues such as motivation, values and ethics, group dynamics, leadership and change, and organizational structure and culture. Typically offered Fall Spring Summer."
OBHR 49500,Internship In Human Resources,1.00 to 4,".00.  A special course in selected areas of management, designed to provide practical field experience under professional supervision in selected situations.  Permission of Instructor required.  Typically offered Fall Spring Summer."
OBHR 49900,Undergraduate Research In Organizational Behavior,3.00,".  Student will work with a faculty member on a research project in their major.  They will contribute to ongoing research while learning current research techniques in management.  During this process, the students will develop critical thinking and oral and written communication skills.  Permission of Instructor required. Typically offered Fall Spring Summer."
OBHR 49400,Leadership Capstone,3.00,. A senior level case-oriented approach designed to provide the student with opportunities to evaluate various organizational policies and strategies and recommend improvements for the organization’s future. This course is considered the Leadership “capstone” and will allow students the opportunity to utilize the knowledge gained in previous courses. Typically offered Fall Spring Summer.
